Account_Id,Armt_Key,From_Date,To_Date
60000,2250,2020-01-01,2099-12-31
60001,2251,2020-01-01,2099-12-31
60002,2252,2020-01-01,2099-12-31
60003,2253,2020-01-01,2099-12-31
60004,2254,2020-01-01,2099-12-31
60005,2255,2020-01-01,2099-12-31
60006,2256,2020-01-01,2099-12-31
60007,2257,2020-01-01,2099-12-31
60008,2258,2020-01-01,2099-12-31
60009,2259,2020-01-01,2099-12-31
60010,2260,2020-01-01,2099-12-31
60011,2261,2020-01-01,2099-12-31
60012,2262,2020-01-01,2099-12-31
60013,2263,2020-01-01,2099-12-31
60014,2264,2020-01-01,2099-12-31
60015,2265,2020-01-01,2099-12-31
60016,2266,2020-01-01,2099-12-31
60017,2267,2020-01-01,2099-12-31
60018,2268,2020-01-01,2099-12-31
60019,2269,2020-01-01,2099-12-31
60020,2270,2020-01-01,2099-12-31
60021,2271,2020-01-01,2099-12-31
60022,2272,2020-01-01,2099-12-31
60023,2273,2020-01-01,2099-12-31
60024,2274,2020-01-01,2099-12-31
60025,2275,2020-01-01,2099-12-31
60026,2276,2020-01-01,2099-12-31
60027,2277,2020-01-01,2099-12-31
60028,2278,2020-01-01,2099-12-31
60029,2279,2020-01-01,2099-12-31
60030,2280,2020-01-01,2099-12-31
60031,2281,2020-01-01,2099-12-31
60032,2282,2020-01-01,2099-12-31
60033,2283,2020-01-01,2099-12-31
60034,2284,2020-01-01,2099-12-31
60035,2285,2020-01-01,2099-12-31
60036,2286,2020-01-01,2099-12-31
60037,2287,2020-01-01,2099-12-31
60038,2288,2020-01-01,2099-12-31
60039,2289,2020-01-01,2099-12-31
60040,2290,2020-01-01,2099-12-31
60041,2291,2020-01-01,2099-12-31
60042,2292,2020-01-01,2099-12-31
60043,2293,2020-01-01,2099-12-31
60044,2294,2020-01-01,2099-12-31
60045,2295,2020-01-01,2099-12-31
60046,2296,2020-01-01,2099-12-31
60047,2297,2020-01-01,2099-12-31
60048,2298,2020-01-01,2099-12-31
60049,2299,2020-01-01,2099-12-31
60050,2300,2020-01-01,2099-12-31
60051,2301,2020-01-01,2099-12-31
60052,2302,2020-01-01,2099-12-31
60053,2303,2020-01-01,2099-12-31
60054,2304,2020-01-01,2099-12-31
60055,2305,2020-01-01,2099-12-31
60056,2306,2020-01-01,2099-12-31
60057,2307,2020-01-01,2099-12-31
60058,2308,2020-01-01,2099-12-31
60059,2309,2020-01-01,2099-12-31
60060,2310,2020-01-01,2099-12-31
60061,2311,2020-01-01,2099-12-31
60062,2312,2020-01-01,2099-12-31
60063,2313,2020-01-01,2099-12-31
60064,2314,2020-01-01,2099-12-31
60065,2315,2020-01-01,2099-12-31
60066,2316,2020-01-01,2099-12-31
60067,2317,2020-01-01,2099-12-31
60068,2318,2020-01-01,2099-12-31
60069,2319,2020-01-01,2099-12-31
60070,2320,2020-01-01,2099-12-31
60071,2321,2020-01-01,2099-12-31
60072,2322,2020-01-01,2099-12-31
60073,2323,2020-01-01,2099-12-31
60074,2324,2020-01-01,2099-12-31
60075,2325,2020-01-01,2099-12-31
60076,2326,2020-01-01,2099-12-31
60077,2327,2020-01-01,2099-12-31
60078,2328,2020-01-01,2099-12-31
60079,2329,2020-01-01,2099-12-31
60080,2330,2020-01-01,2099-12-31
60081,2331,2020-01-01,2099-12-31
60082,2332,2020-01-01,2099-12-31
60083,2333,2020-01-01,2099-12-31
60084,2334,2020-01-01,2099-12-31
60085,2335,2020-01-01,2099-12-31
60086,2336,2020-01-01,2099-12-31
60087,2337,2020-01-01,2099-12-31
60088,2338,2020-01-01,2099-12-31
60089,2339,2020-01-01,2099-12-31
60090,2340,2020-01-01,2099-12-31
60091,2341,2020-01-01,2099-12-31
60092,2342,2020-01-01,2099-12-31
60093,2343,2020-01-01,2099-12-31
60094,2344,2020-01-01,2099-12-31
60095,2345,2020-01-01,2099-12-31
60096,2346,2020-01-01,2099-12-31
60097,2347,2020-01-01,2099-12-31
60098,2348,2020-01-01,2099-12-31
60099,2349,2020-01-01,2099-12-31
