Account_Id,Armt_Key,From_Date,To_Date
40000,1900,2020-01-01,2099-12-31
40001,1901,2020-01-01,2099-12-31
40002,1902,2020-01-01,2099-12-31
40003,1903,2020-01-01,2099-12-31
40004,1904,2020-01-01,2099-12-31
40005,1905,2020-01-01,2099-12-31
40006,1906,2020-01-01,2099-12-31
40007,1907,2020-01-01,2099-12-31
40008,1908,2020-01-01,2099-12-31
40009,1909,2020-01-01,2099-12-31
40010,1910,2020-01-01,2099-12-31
40011,1911,2020-01-01,2099-12-31
40012,1912,2020-01-01,2099-12-31
40013,1913,2020-01-01,2099-12-31
40014,1914,2020-01-01,2099-12-31
40015,1915,2020-01-01,2099-12-31
40016,1916,2020-01-01,2099-12-31
40017,1917,2020-01-01,2099-12-31
40018,1918,2020-01-01,2099-12-31
40019,1919,2020-01-01,2099-12-31
40020,1920,2020-01-01,2099-12-31
40021,1921,2020-01-01,2099-12-31
40022,1922,2020-01-01,2099-12-31
40023,1923,2020-01-01,2099-12-31
40024,1924,2020-01-01,2099-12-31
40025,1925,2020-01-01,2099-12-31
40026,1926,2020-01-01,2099-12-31
40027,1927,2020-01-01,2099-12-31
40028,1928,2020-01-01,2099-12-31
40029,1929,2020-01-01,2099-12-31
40030,1930,2020-01-01,2099-12-31
40031,1931,2020-01-01,2099-12-31
40032,1932,2020-01-01,2099-12-31
40033,1933,2020-01-01,2099-12-31
40034,1934,2020-01-01,2099-12-31
40035,1935,2020-01-01,2099-12-31
40036,1936,2020-01-01,2099-12-31
40037,1937,2020-01-01,2099-12-31
40038,1938,2020-01-01,2099-12-31
40039,1939,2020-01-01,2099-12-31
40040,1940,2020-01-01,2099-12-31
40041,1941,2020-01-01,2099-12-31
40042,1942,2020-01-01,2099-12-31
40043,1943,2020-01-01,2099-12-31
40044,1944,2020-01-01,2099-12-31
40045,1945,2020-01-01,2099-12-31
40046,1946,2020-01-01,2099-12-31
40047,1947,2020-01-01,2099-12-31
40048,1948,2020-01-01,2099-12-31
40049,1949,2020-01-01,2099-12-31
40050,1950,2020-01-01,2099-12-31
40051,1951,2020-01-01,2099-12-31
40052,1952,2020-01-01,2099-12-31
40053,1953,2020-01-01,2099-12-31
40054,1954,2020-01-01,2099-12-31
40055,1955,2020-01-01,2099-12-31
40056,1956,2020-01-01,2099-12-31
40057,1957,2020-01-01,2099-12-31
